[2019-06-24T14:07:46.209+0000][1][gc] Using Concurrent Mark Sweep
[2019-06-24T14:07:46.209+0000][1][gc,heap,coops] Heap address: 0x00000000f0000000, size: 256 MB, Compressed Oops mode: 32-bit
[2019-06-24T14:07:46.340+0000][1][safepoint    ] Entering safepoint region: EnableBiasedLocking
[2019-06-24T14:07:46.341+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:46.341+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0001508 seconds, Stopping threads took: 0.0000722 seconds
[2019-06-24T14:07:46.360+0000][1][safepoint    ] Application time: 0.0161709 seconds
[2019-06-24T14:07:46.363+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:46.363+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:46.363+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0038562 seconds, Stopping threads took: 0.0037782 seconds
[2019-06-24T14:07:46.384+0000][1][safepoint    ] Application time: 0.0210322 seconds
[2019-06-24T14:07:46.384+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:46.385+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:46.385+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000594 seconds, Stopping threads took: 0.0000140 seconds
[2019-06-24T14:07:46.635+0000][1][safepoint    ] Application time: 0.2506237 seconds
[2019-06-24T14:07:46.635+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:46.635+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:46.635+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000871 seconds, Stopping threads took: 0.0000134 seconds
[2019-06-24T14:07:46.643+0000][1][safepoint    ] Application time: 0.0078256 seconds
[2019-06-24T14:07:46.643+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:46.643+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:46.643+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0001240 seconds, Stopping threads took: 0.0000548 seconds
[2019-06-24T14:07:46.702+0000][1][safepoint    ] Application time: 0.0590288 seconds
[2019-06-24T14:07:46.702+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:46.702+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:46.703+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0001048 seconds, Stopping threads took: 0.0000200 seconds
[2019-06-24T14:07:47.183+0000][1][safepoint    ] Application time: 0.4808261 seconds
[2019-06-24T14:07:47.183+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:47.184+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:47.184+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0003028 seconds, Stopping threads took: 0.0000852 seconds
[2019-06-24T14:07:47.234+0000][1][safepoint    ] Application time: 0.0500334 seconds
[2019-06-24T14:07:47.234+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:47.234+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:47.234+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0001812 seconds, Stopping threads took: 0.0000222 seconds
[2019-06-24T14:07:47.252+0000][1][safepoint    ] Application time: 0.0184085 seconds
[2019-06-24T14:07:47.253+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:47.253+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:47.253+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0002063 seconds, Stopping threads took: 0.0000180 seconds
[2019-06-24T14:07:48.269+0000][1][safepoint    ] Application time: 1.0164649 seconds
[2019-06-24T14:07:48.277+0000][1][safepoint    ] Entering safepoint region: Cleanup
[2019-06-24T14:07:48.277+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:48.277+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0060918 seconds, Stopping threads took: 0.0059543 seconds
[2019-06-24T14:07:48.557+0000][1][safepoint    ] Application time: 0.2791567 seconds
[2019-06-24T14:07:48.557+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:48.557+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:48.557+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0002090 seconds, Stopping threads took: 0.0000421 seconds
[2019-06-24T14:07:49.156+0000][1][safepoint    ] Application time: 0.5988435 seconds
[2019-06-24T14:07:49.156+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:49.156+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.156+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0002013 seconds, Stopping threads took: 0.0000448 seconds
[2019-06-24T14:07:49.414+0000][1][safepoint    ] Application time: 0.2584140 seconds
[2019-06-24T14:07:49.414+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:49.415+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.415+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0003029 seconds, Stopping threads took: 0.0000228 seconds
[2019-06-24T14:07:49.697+0000][1][safepoint    ] Application time: 0.2822748 seconds
[2019-06-24T14:07:49.697+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:49.697+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.697+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0003253 seconds, Stopping threads took: 0.0000309 seconds
[2019-06-24T14:07:49.701+0000][1][safepoint    ] Application time: 0.0037000 seconds
[2019-06-24T14:07:49.701+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:49.702+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.702+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0003179 seconds, Stopping threads took: 0.0000202 seconds
[2019-06-24T14:07:49.757+0000][1][safepoint    ] Application time: 0.0556072 seconds
[2019-06-24T14:07:49.757+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:49.758+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.758+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0003897 seconds, Stopping threads took: 0.0000527 seconds
[2019-06-24T14:07:49.789+0000][1][safepoint    ] Application time: 0.0312211 seconds
[2019-06-24T14:07:49.789+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:49.789+0000][1][safepoint    ] Leaving safepoint region
